date,year,month,day,Day of the week,work
2019/1/2,2019,1,2,3,TRUE
2019/1/3,2019,1,3,4,TRUE
2019/1/4,2019,1,4,5,TRUE
2019/1/5,2019,1,5,6,FALSE
2019/1/6,2019,1,6,7,FALSE
2019/1/7,2019,1,7,1,TRUE
2019/1/8,2019,1,8,2,TRUE
2019/1/9,2019,1,9,3,TRUE
2019/1/10,2019,1,10,4,TRUE
2019/1/11,2019,1,11,5,TRUE
2019/1/12,2019,1,12,6,FALSE
2019/1/13,2019,1,13,7,FALSE
2019/1/14,2019,1,14,1,TRUE
2019/1/15,2019,1,15,2,TRUE
2019/1/16,2019,1,16,3,TRUE
2019/1/17,2019,1,17,4,TRUE
2019/1/18,2019,1,18,5,TRUE
2019/1/19,2019,1,19,6,TRUE
2019/1/20,2019,1,20,7,FALSE
2019/1/21,2019,1,21,1,TRUE
2019/1/22,2019,1,22,2,TRUE
2019/1/23,2019,1,23,3,TRUE
2019/1/24,2019,1,24,4,TRUE
2019/1/25,2019,1,25,5,TRUE
2019/1/26,2019,1,26,6,FALSE
2019/1/27,2019,1,27,7,FALSE
2019/1/28,2019,1,28,1,TRUE
2019/1/29,2019,1,29,2,TRUE
2019/1/30,2019,1,30,3,TRUE
2019/1/31,2019,1,31,4,TRUE
2019/2/1,2019,2,1,5,TRUE
2019/2/2,2019,2,2,6,FALSE
2019/2/3,2019,2,3,7,FALSE
2019/2/4,2019,2,4,1,FALSE
2019/2/5,2019,2,5,2,FALSE
2019/2/6,2019,2,6,3,FALSE
2019/2/7,2019,2,7,4,FALSE
2019/2/8,2019,2,8,5,FALSE
2019/2/9,2019,2,9,6,FALSE
2019/2/10,2019,2,10,7,FALSE
2019/2/11,2019,2,11,1,TRUE
2019/2/12,2019,2,12,2,TRUE
2019/2/13,2019,2,13,3,TRUE
2019/2/14,2019,2,14,4,TRUE
2019/2/15,2019,2,15,5,TRUE
2019/2/16,2019,2,16,6,FALSE
2019/2/17,2019,2,17,7,FALSE
2019/2/18,2019,2,18,1,TRUE
2019/2/19,2019,2,19,2,TRUE
2019/2/20,2019,2,20,3,TRUE
2019/2/21,2019,2,21,4,TRUE
2019/2/22,2019,2,22,5,TRUE
2019/2/23,2019,2,23,6,TRUE
2019/2/24,2019,2,24,7,FALSE
2019/2/25,2019,2,25,1,TRUE
2019/2/26,2019,2,26,2,TRUE
2019/2/27,2019,2,27,3,TRUE
2019/2/28,2019,2,28,4,FALSE
2019/3/1,2019,3,1,5,FALSE
2019/3/2,2019,3,2,6,FALSE
2019/3/3,2019,3,3,7,FALSE
2019/3/4,2019,3,4,1,TRUE
2019/3/5,2019,3,5,2,TRUE
2019/3/6,2019,3,6,3,TRUE
2019/3/7,2019,3,7,4,TRUE
2019/3/8,2019,3,8,5,TRUE
2019/3/9,2019,3,9,6,FALSE
2019/3/10,2019,3,10,7,FALSE
2019/3/11,2019,3,11,1,TRUE
2019/3/12,2019,3,12,2,TRUE
2019/3/13,2019,3,13,3,TRUE
2019/3/14,2019,3,14,4,TRUE
2019/3/15,2019,3,15,5,TRUE
2019/3/16,2019,3,16,6,FALSE
2019/3/17,2019,3,17,7,FALSE
2019/3/18,2019,3,18,1,TRUE
2019/3/19,2019,3,19,2,TRUE
2019/3/20,2019,3,20,3,TRUE
2019/3/21,2019,3,21,4,TRUE
2019/3/22,2019,3,22,5,TRUE
2019/3/23,2019,3,23,6,FALSE
2019/3/24,2019,3,24,7,FALSE
2019/3/25,2019,3,25,1,TRUE
2019/3/26,2019,3,26,2,TRUE
2019/3/27,2019,3,27,3,TRUE
2019/3/28,2019,3,28,4,TRUE
2019/3/29,2019,3,29,5,TRUE
2019/3/30,2019,3,30,6,FALSE
2019/3/31,2019,3,31,7,FALSE
2019/4/1,2019,4,1,1,TRUE
2019/4/2,2019,4,2,2,TRUE
2019/4/3,2019,4,3,3,TRUE
2019/4/4,2019,4,4,4,FALSE
2019/4/5,2019,4,5,5,FALSE
2019/4/6,2019,4,6,6,FALSE
2019/4/7,2019,4,7,7,FALSE
2019/4/8,2019,4,8,1,TRUE
2019/4/9,2019,4,9,2,TRUE
2019/4/10,2019,4,10,3,TRUE
2019/4/11,2019,4,11,4,TRUE
2019/4/12,2019,4,12,5,TRUE
2019/4/13,2019,4,13,6,FALSE
2019/4/14,2019,4,14,7,FALSE
2019/4/15,2019,4,15,1,TRUE
2019/4/16,2019,4,16,2,TRUE
2019/4/17,2019,4,17,3,TRUE
2019/4/18,2019,4,18,4,TRUE
2019/4/19,2019,4,19,5,TRUE
2019/4/20,2019,4,20,6,FALSE
2019/4/21,2019,4,21,7,FALSE
2019/4/22,2019,4,22,1,TRUE
2019/4/23,2019,4,23,2,TRUE
2019/4/24,2019,4,24,3,TRUE
2019/4/25,2019,4,25,4,TRUE
2019/4/26,2019,4,26,5,TRUE
2019/4/27,2019,4,27,6,FALSE
2019/4/28,2019,4,28,7,FALSE
2019/4/29,2019,4,29,1,TRUE
2019/4/30,2019,4,30,2,TRUE
2019/5/1,2019,5,1,3,TRUE
2019/5/2,2019,5,2,4,TRUE
2019/5/3,2019,5,3,5,TRUE
2019/5/4,2019,5,4,6,FALSE
2019/5/5,2019,5,5,7,FALSE
2019/5/6,2019,5,6,1,TRUE
2019/5/7,2019,5,7,2,TRUE
2019/5/8,2019,5,8,3,TRUE
2019/5/9,2019,5,9,4,TRUE
2019/5/10,2019,5,10,5,TRUE
2019/5/11,2019,5,11,6,FALSE
2019/5/12,2019,5,12,7,FALSE
2019/5/13,2019,5,13,1,TRUE
2019/5/14,2019,5,14,2,TRUE
2019/5/15,2019,5,15,3,TRUE
2019/5/16,2019,5,16,4,TRUE
2019/5/17,2019,5,17,5,TRUE
2019/5/18,2019,5,18,6,FALSE
2019/5/19,2019,5,19,7,FALSE
2019/5/20,2019,5,20,1,TRUE
2019/5/21,2019,5,21,2,TRUE
2019/5/22,2019,5,22,3,TRUE
2019/5/23,2019,5,23,4,TRUE
2019/5/24,2019,5,24,5,TRUE
2019/5/25,2019,5,25,6,FALSE
2019/5/26,2019,5,26,7,FALSE
2019/5/27,2019,5,27,1,TRUE
2019/5/28,2019,5,28,2,TRUE
2019/5/29,2019,5,29,3,TRUE
2019/5/30,2019,5,30,4,TRUE
2019/5/31,2019,5,31,5,TRUE
2019/6/1,2019,6,1,6,FALSE
2019/6/2,2019,6,2,7,FALSE
2019/6/3,2019,6,3,1,TRUE
2019/6/4,2019,6,4,2,TRUE
2019/6/5,2019,6,5,3,TRUE
2019/6/6,2019,6,6,4,TRUE
2019/6/7,2019,6,7,5,FALSE
2019/6/8,2019,6,8,6,FALSE
2019/6/9,2019,6,9,7,FALSE
2019/6/10,2019,6,10,1,TRUE
2019/6/11,2019,6,11,2,TRUE
2019/6/12,2019,6,12,3,TRUE
2019/6/13,2019,6,13,4,TRUE
2019/6/14,2019,6,14,5,TRUE
2019/6/15,2019,6,15,6,FALSE
2019/6/16,2019,6,16,7,FALSE
2019/6/17,2019,6,17,1,TRUE
2019/6/18,2019,6,18,2,TRUE
2019/6/19,2019,6,19,3,TRUE
2019/6/20,2019,6,20,4,TRUE
2019/6/21,2019,6,21,5,TRUE
2019/6/22,2019,6,22,6,FALSE
2019/6/23,2019,6,23,7,FALSE
2019/6/24,2019,6,24,1,TRUE
2019/6/25,2019,6,25,2,TRUE
2019/6/26,2019,6,26,3,TRUE
2019/6/27,2019,6,27,4,TRUE
2019/6/28,2019,6,28,5,TRUE
2019/6/29,2019,6,29,6,FALSE
2019/6/30,2019,6,30,7,FALSE
2019/7/1,2019,7,1,1,TRUE
2019/7/2,2019,7,2,2,TRUE
2019/7/3,2019,7,3,3,TRUE
2019/7/4,2019,7,4,4,TRUE
2019/7/5,2019,7,5,5,TRUE
2019/7/6,2019,7,6,6,FALSE
2019/7/7,2019,7,7,7,FALSE
2019/7/8,2019,7,8,1,TRUE
2019/7/9,2019,7,9,2,TRUE
2019/7/10,2019,7,10,3,TRUE
2019/7/11,2019,7,11,4,TRUE
2019/7/12,2019,7,12,5,TRUE
2019/7/13,2019,7,13,6,FALSE
2019/7/14,2019,7,14,7,FALSE
2019/7/15,2019,7,15,1,TRUE
2019/7/16,2019,7,16,2,TRUE
2019/7/17,2019,7,17,3,TRUE
2019/7/18,2019,7,18,4,TRUE
2019/7/19,2019,7,19,5,TRUE
2019/7/20,2019,7,20,6,FALSE
2019/7/21,2019,7,21,7,FALSE
2019/7/22,2019,7,22,1,TRUE
2019/7/23,2019,7,23,2,TRUE
2019/7/24,2019,7,24,3,TRUE
2019/7/25,2019,7,25,4,TRUE
2019/7/26,2019,7,26,5,TRUE
2019/7/27,2019,7,27,6,FALSE
2019/7/28,2019,7,28,7,FALSE
2019/7/29,2019,7,29,1,TRUE
2019/7/30,2019,7,30,2,TRUE
2019/7/31,2019,7,31,3,TRUE
2019/8/1,2019,8,1,4,TRUE
2019/8/2,2019,8,2,5,TRUE
2019/8/3,2019,8,3,6,FALSE
2019/8/4,2019,8,4,7,FALSE
2019/8/5,2019,8,5,1,TRUE
2019/8/6,2019,8,6,2,TRUE
2019/8/7,2019,8,7,3,TRUE
2019/8/8,2019,8,8,4,TRUE
2019/8/9,2019,8,9,5,TRUE
2019/8/10,2019,8,10,6,FALSE
2019/8/11,2019,8,11,7,FALSE
2019/8/12,2019,8,12,1,TRUE
2019/8/13,2019,8,13,2,TRUE
2019/8/14,2019,8,14,3,TRUE
2019/8/15,2019,8,15,4,TRUE
2019/8/16,2019,8,16,5,TRUE
2019/8/17,2019,8,17,6,FALSE
2019/8/18,2019,8,18,7,FALSE
2019/8/19,2019,8,19,1,TRUE
2019/8/20,2019,8,20,2,TRUE
2019/8/21,2019,8,21,3,TRUE
2019/8/22,2019,8,22,4,TRUE
2019/8/23,2019,8,23,5,TRUE
2019/8/24,2019,8,24,6,FALSE
2019/8/25,2019,8,25,7,FALSE
2019/8/26,2019,8,26,1,TRUE
2019/8/27,2019,8,27,2,TRUE
2019/8/28,2019,8,28,3,TRUE
2019/8/29,2019,8,29,4,TRUE
2019/8/30,2019,8,30,5,TRUE
2019/8/31,2019,8,31,6,FALSE
2019/9/1,2019,9,1,7,FALSE
2019/9/2,2019,9,2,1,TRUE
2019/9/3,2019,9,3,2,TRUE
2019/9/4,2019,9,4,3,TRUE
2019/9/5,2019,9,5,4,TRUE
2019/9/6,2019,9,6,5,TRUE
2019/9/7,2019,9,7,6,FALSE
2019/9/8,2019,9,8,7,FALSE
2019/9/9,2019,9,9,1,TRUE
2019/9/10,2019,9,10,2,TRUE
2019/9/11,2019,9,11,3,TRUE
2019/9/12,2019,9,12,4,TRUE
2019/9/13,2019,9,13,5,FALSE
2019/9/14,2019,9,14,6,FALSE
2019/9/15,2019,9,15,7,FALSE
2019/9/16,2019,9,16,1,TRUE
2019/9/17,2019,9,17,2,TRUE
2019/9/18,2019,9,18,3,TRUE
2019/9/19,2019,9,19,4,TRUE
2019/9/20,2019,9,20,5,TRUE
2019/9/21,2019,9,21,6,FALSE
2019/9/22,2019,9,22,7,FALSE
2019/9/23,2019,9,23,1,TRUE
2019/9/24,2019,9,24,2,TRUE
2019/9/25,2019,9,25,3,TRUE
2019/9/26,2019,9,26,4,TRUE
2019/9/27,2019,9,27,5,TRUE
2019/9/28,2019,9,28,6,FALSE
2019/9/29,2019,9,29,7,FALSE
2019/9/30,2019,9,30,1,TRUE
2019/10/1,2019,10,1,2,TRUE
2019/10/2,2019,10,2,3,TRUE
2019/10/3,2019,10,3,4,TRUE
2019/10/4,2019,10,4,5,TRUE
2019/10/5,2019,10,5,6,TRUE
2019/10/6,2019,10,6,7,FALSE
2019/10/7,2019,10,7,1,TRUE
2019/10/8,2019,10,8,2,TRUE
2019/10/9,2019,10,9,3,TRUE
2019/10/10,2019,10,10,4,FALSE
2019/10/11,2019,10,11,5,FALSE
2019/10/12,2019,10,12,6,FALSE
2019/10/13,2019,10,13,7,FALSE
2019/10/14,2019,10,14,1,TRUE
2019/10/15,2019,10,15,2,TRUE
2019/10/16,2019,10,16,3,TRUE
2019/10/17,2019,10,17,4,TRUE
2019/10/18,2019,10,18,5,TRUE
2019/10/19,2019,10,19,6,FALSE
2019/10/20,2019,10,20,7,FALSE
2019/10/21,2019,10,21,1,TRUE
2019/10/22,2019,10,22,2,TRUE
2019/10/23,2019,10,23,3,TRUE
2019/10/24,2019,10,24,4,TRUE
2019/10/25,2019,10,25,5,TRUE
2019/10/26,2019,10,26,6,FALSE
2019/10/27,2019,10,27,7,FALSE
2019/10/28,2019,10,28,1,TRUE
2019/10/29,2019,10,29,2,TRUE
2019/10/30,2019,10,30,3,TRUE
2019/10/31,2019,10,31,4,TRUE
2019/11/1,2019,11,1,5,TRUE
2019/11/2,2019,11,2,6,FALSE
2019/11/3,2019,11,3,7,FALSE
2019/11/4,2019,11,4,1,TRUE
2019/11/5,2019,11,5,2,TRUE
2019/11/6,2019,11,6,3,TRUE
2019/11/7,2019,11,7,4,TRUE
2019/11/8,2019,11,8,5,TRUE
2019/11/9,2019,11,9,6,FALSE
2019/11/10,2019,11,10,7,FALSE
2019/11/11,2019,11,11,1,TRUE
2019/11/12,2019,11,12,2,TRUE
2019/11/13,2019,11,13,3,TRUE
2019/11/14,2019,11,14,4,TRUE
2019/11/15,2019,11,15,5,TRUE
2019/11/16,2019,11,16,6,FALSE
2019/11/17,2019,11,17,7,FALSE
2019/11/18,2019,11,18,1,TRUE
2019/11/19,2019,11,19,2,TRUE
2019/11/20,2019,11,20,3,TRUE
2019/11/21,2019,11,21,4,TRUE
2019/11/22,2019,11,22,5,TRUE
2019/11/23,2019,11,23,6,FALSE
2019/11/24,2019,11,24,7,FALSE
2019/11/25,2019,11,25,1,TRUE
2019/11/26,2019,11,26,2,TRUE
2019/11/27,2019,11,27,3,TRUE
2019/11/28,2019,11,28,4,TRUE
2019/11/29,2019,11,29,5,TRUE
2019/11/30,2019,11,30,6,FALSE
2019/12/1,2019,12,1,7,FALSE
2019/12/2,2019,12,2,1,TRUE
2019/12/3,2019,12,3,2,TRUE
2019/12/4,2019,12,4,3,TRUE
2019/12/5,2019,12,5,4,TRUE
2019/12/6,2019,12,6,5,TRUE
2019/12/7,2019,12,7,6,FALSE
2019/12/8,2019,12,8,7,FALSE
2019/12/9,2019,12,9,1,TRUE
2019/12/10,2019,12,10,2,TRUE
2019/12/11,2019,12,11,3,TRUE
2019/12/12,2019,12,12,4,TRUE
2019/12/13,2019,12,13,5,TRUE
2019/12/14,2019,12,14,6,FALSE
2019/12/15,2019,12,15,7,FALSE
2019/12/16,2019,12,16,1,TRUE
2019/12/17,2019,12,17,2,TRUE
2019/12/18,2019,12,18,3,TRUE
2019/12/19,2019,12,19,4,TRUE
2019/12/20,2019,12,20,5,TRUE
2019/12/21,2019,12,21,6,FALSE
2019/12/22,2019,12,22,7,FALSE
2019/12/23,2019,12,23,1,TRUE
2019/12/24,2019,12,24,2,TRUE
2019/12/25,2019,12,25,3,TRUE
2019/12/26,2019,12,26,4,TRUE
2019/12/27,2019,12,27,5,TRUE
2019/12/28,2019,12,28,6,FALSE
2019/12/29,2019,12,29,7,FALSE
2019/12/30,2019,12,30,1,TRUE
2019/12/31,2019,12,31,2,TRUE
2020/1/1,2020,1,1,3,FALSE
2020/1/2,2020,1,2,4,TRUE
2020/1/3,2020,1,3,5,TRUE
2020/1/4,2020,1,4,6,FALSE
2020/1/5,2020,1,5,7,FALSE
2020/1/6,2020,1,6,1,TRUE
2020/1/7,2020,1,7,2,TRUE
2020/1/8,2020,1,8,3,TRUE
2020/1/9,2020,1,9,4,TRUE
2020/1/10,2020,1,10,5,TRUE
2020/1/11,2020,1,11,6,FALSE
2020/1/12,2020,1,12,7,FALSE
2020/1/13,2020,1,13,1,TRUE
2020/1/14,2020,1,14,2,TRUE
2020/1/15,2020,1,15,3,TRUE
2020/1/16,2020,1,16,4,TRUE
