date,year,month,day,Day of the week,work,備轉容量(MW),備轉容量率(%)
2020/1/28,2020,1,28,2,FALSE,3653,16.01
2020/1/29,2020,1,29,3,FALSE,3303,13.77
2020/1/30,2020,1,30,4,TRUE,2991,11.36
2020/1/31,2020,1,31,5,TRUE,3361,12.58
2020/2/1,2020,2,1,6,FALSE,3890,15.43
2020/2/2,2020,2,2,7,FALSE,3247,13.08
2020/2/3,2020,2,3,1,TRUE,4088,14.62
2020/2/4,2020,2,4,2,TRUE,3302,11.61
2020/2/5,2020,2,5,3,TRUE,3643,12.83
2020/2/6,2020,2,6,4,TRUE,3347,11.75
2020/2/7,2020,2,7,5,TRUE,3767,13.32
2020/2/8,2020,2,8,6,FALSE,3660,14.28
2020/2/9,2020,2,9,7,FALSE,3084,12.26
2020/2/10,2020,2,10,1,TRUE,3146,11.12
2020/2/11,2020,2,11,2,TRUE,3219,11.23
2020/2/12,2020,2,12,3,TRUE,3348,11.73
2020/2/13,2020,2,13,4,TRUE,3246,11.16
2020/2/14,2020,2,14,5,TRUE,3123,10.7
2020/2/15,2020,2,15,6,TRUE,2996,10.79
2020/2/16,2020,2,16,7,FALSE,3985,15.9
2020/2/17,2020,2,17,1,TRUE,3744,13.23
2020/2/18,2020,2,18,2,TRUE,4249,14.95
2020/2/19,2020,2,19,3,TRUE,3564,12.56
2020/2/20,2020,2,20,4,TRUE,3131,10.94
2020/2/21,2020,2,21,5,TRUE,3138,11
2020/2/22,2020,2,22,6,FALSE,3674,14.11
2020/2/23,2020,2,23,7,FALSE,3740,14.92
2020/2/24,2020,2,24,1,TRUE,3010,10.44
2020/2/25,2020,2,25,2,TRUE,3124,10.7
2020/2/26,2020,2,26,3,TRUE,3167,10.75
2020/2/27,2020,2,27,4,TRUE,4253,14.99
2020/2/28,2020,2,28,5,FALSE,3286,12.47
2020/2/29,2020,2,29,6,FALSE,2806,10.93
2020/3/1,2020,3,1,7,FALSE,3320,13.29
2020/3/2,2020,3,2,1,TRUE,3295,11.54
2020/3/3,2020,3,3,2,TRUE,3106,10.64
2020/3/4,2020,3,4,3,TRUE,3758,13.02
2020/3/5,2020,3,5,4,TRUE,3518,12.3
2020/3/6,2020,3,6,5,TRUE,3179,11.13
2020/3/7,2020,3,7,6,FALSE,3712,14.18
2020/3/8,2020,3,8,7,FALSE,3379,13.22
2020/3/9,2020,3,9,1,TRUE,3208,10.82
2020/3/10,2020,3,10,2,TRUE,3941,13.79
2020/3/11,2020,3,11,3,TRUE,3255,11.41
2020/3/12,2020,3,12,4,TRUE,3002,10.23
2020/3/13,2020,3,13,5,TRUE,3098,10.62
2020/3/14,2020,3,14,6,FALSE,3826,14.83
2020/3/15,2020,3,15,7,FALSE,3493,14.06
2020/3/16,2020,3,16,1,TRUE,4820,17.22
2020/3/17,2020,3,17,2,TRUE,4143,14.41
2020/3/18,2020,3,18,3,TRUE,4153,14.26
2020/3/19,2020,3,19,4,TRUE,3085,10.5
2020/3/20,2020,3,20,5,TRUE,3700,12.75
2020/3/21,2020,3,21,6,FALSE,3020,11.34
2020/3/22,2020,3,22,7,FALSE,3086,11.83
2020/3/23,2020,3,23,1,TRUE,3771,12.84
2020/3/24,2020,3,24,2,TRUE,4125,14
2020/3/25,2020,3,25,3,TRUE,3577,11.91
2020/3/26,2020,3,26,4,TRUE,3187,10.33
2020/3/27,2020,3,27,5,TRUE,3264,10.44
2020/3/28,2020,3,28,6,FALSE,4066,15.7
2020/3/29,2020,3,29,7,FALSE,3489,13.87
2020/3/30,2020,3,30,1,TRUE,3508,12.22
2020/3/31,2020,3,31,2,TRUE,3322,11.39
2020/4/1,2020,4,1,3,TRUE,4095,14.48
2020/4/2,2020,4,2,4,FALSE,4108,16.15
2020/4/3,2020,4,3,5,FALSE,3749,14.92
2020/4/4,2020,4,4,6,FALSE,4414,18.21
2020/4/5,2020,4,5,7,FALSE,4249,17.45
2020/4/6,2020,4,6,1,TRUE,4054,14.35
2020/4/7,2020,4,7,2,TRUE,4037,14.36
2020/4/8,2020,4,8,3,TRUE,3364,11.91
2020/4/9,2020,4,9,4,TRUE,3678,13
2020/4/10,2020,4,10,5,TRUE,4650,16.33
2020/4/11,2020,4,11,6,FALSE,3179,12.34
2020/4/12,2020,4,12,7,FALSE,2809,11.42
2020/4/13,2020,4,13,1,TRUE,3328,12.05
2020/4/14,2020,4,14,2,TRUE,3563,12.78
2020/4/15,2020,4,15,3,TRUE,3497,12.41
2020/4/16,2020,4,16,4,TRUE,3144,11.02
2020/4/17,2020,4,17,5,TRUE,3609,12.45
2020/4/18,2020,4,18,6,FALSE,3489,13.09
2020/4/19,2020,4,19,7,FALSE,3028,11.42
2020/4/20,2020,4,20,1,TRUE,4091,13.64
2020/4/21,2020,4,21,2,TRUE,4376,14.59
2020/4/22,2020,4,22,3,TRUE,4031,14.1
2020/4/23,2020,4,23,4,TRUE,3948,14.07
2020/4/24,2020,4,24,5,TRUE,3948,14.26
2020/4/25,2020,4,25,6,FALSE,3166,12.34
2020/4/26,2020,4,26,7,FALSE,3120,12.43
2020/4/27,2020,4,27,1,TRUE,3810,13.27
2020/4/28,2020,4,28,2,TRUE,4687,16.19
2020/4/29,2020,4,29,3,TRUE,3346,11.33
2020/4/30,2020,4,30,4,TRUE,4864,16.43
2020/5/1,2020,5,1,5,TRUE,3512,13.11
2020/5/2,2020,5,2,6,FALSE,3414,12.9
2020/5/3,2020,5,3,7,FALSE,2967,11.06
2020/5/4,2020,5,4,1,TRUE,3476,10.75
2020/5/5,2020,5,5,2,TRUE,3400,10.2
2020/5/6,2020,5,6,3,TRUE,3426,10.39
2020/5/7,2020,5,7,4,TRUE,3736,11.49
2020/5/8,2020,5,8,5,TRUE,3414,10.1
2020/5/9,2020,5,9,6,FALSE,3823,12.87
2020/5/10,2020,5,10,7,FALSE,3015,10.25
2020/5/11,2020,5,11,1,TRUE,3350,10.09
2020/5/12,2020,5,12,2,TRUE,3766,11.78
2020/5/13,2020,5,13,3,TRUE,4199,13.01
2020/5/14,2020,5,14,4,TRUE,3382,10.11
2020/5/15,2020,5,15,5,TRUE,3622,10.72
2020/5/16,2020,5,16,6,FALSE,3947,13.14
2020/5/17,2020,5,17,7,FALSE,4241,14.78
2020/5/18,2020,5,18,1,TRUE,4085,12.45
2020/5/19,2020,5,19,2,TRUE,4626,14.76
2020/5/20,2020,5,20,3,TRUE,4951,15.71
2020/5/21,2020,5,21,4,TRUE,3983,12.62
2020/5/22,2020,5,22,5,TRUE,3675,11.9
2020/5/23,2020,5,23,6,FALSE,4061,15.1
2020/5/24,2020,5,24,7,FALSE,4289,15.94
2020/5/25,2020,5,25,1,TRUE,3942,12.15
2020/5/26,2020,5,26,2,TRUE,3563,10.83
2020/5/27,2020,5,27,3,TRUE,4932,15.69
2020/5/28,2020,5,28,4,TRUE,5261,16.69
2020/5/29,2020,5,29,5,TRUE,4098,12.59
2020/5/30,2020,5,30,6,FALSE,4186,14.68
2020/5/31,2020,5,31,7,FALSE,3430,11.92
2020/6/1,2020,6,1,1,TRUE,3633,10.79
2020/6/2,2020,6,2,2,TRUE,4071,11.84
2020/6/3,2020,6,3,3,TRUE,4163,12.07
2020/6/4,2020,6,4,4,TRUE,3754,10.75
2020/6/5,2020,6,5,5,TRUE,3683,10.56
2020/6/6,2020,6,6,6,FALSE,4240,13.79
2020/6/7,2020,6,7,7,FALSE,4535,16.13
2020/6/8,2020,6,8,1,TRUE,4580,14.15
2020/6/9,2020,6,9,2,TRUE,4515,13.95
2020/6/10,2020,6,10,3,TRUE,4367,12.93
2020/6/11,2020,6,11,4,TRUE,3986,11.65
2020/6/12,2020,6,12,5,TRUE,3586,10.24
2020/6/13,2020,6,13,6,FALSE,3764,11.93
2020/6/14,2020,6,14,7,FALSE,4572,15.33
2020/6/15,2020,6,15,1,TRUE,5033,14.34
2020/6/16,2020,6,16,2,TRUE,4022,11.27
2020/6/17,2020,6,17,3,TRUE,3975,10.99
2020/6/18,2020,6,18,4,TRUE,4191,11.65
2020/6/19,2020,6,19,5,TRUE,3862,10.63
2020/6/20,2020,6,20,6,TRUE,3675,10.41
2020/6/21,2020,6,21,7,FALSE,3484,11.02
2020/6/22,2020,6,22,1,TRUE,3849,10.51
2020/6/23,2020,6,23,2,TRUE,3768,10.23
2020/6/24,2020,6,24,3,TRUE,4086,10.99
2020/6/25,2020,6,25,4,FALSE,3379,10.61
2020/6/26,2020,6,26,5,FALSE,3907,12.87
2020/6/27,2020,6,27,6,FALSE,3620,11.88
2020/6/28,2020,6,28,7,FALSE,3412,10.97
2020/6/29,2020,6,29,1,TRUE,4013,11.04
2020/6/30,2020,6,30,2,TRUE,4647,12.67
2020/7/1,2020,7,1,3,TRUE,4029,11.09
2020/7/2,2020,7,2,4,TRUE,4458,12.44
2020/7/3,2020,7,3,5,TRUE,4131,11.54
2020/7/4,2020,7,4,6,FALSE,4287,13.43
2020/7/5,2020,7,5,7,FALSE,3475,11.13
2020/7/6,2020,7,6,1,TRUE,5016,13.98
2020/7/7,2020,7,7,2,TRUE,4610,12.69
2020/7/8,2020,7,8,3,TRUE,4315,11.63
2020/7/9,2020,7,9,4,TRUE,4367,11.9
2020/7/10,2020,7,10,5,TRUE,4379,11.89
2020/7/11,2020,7,11,6,FALSE,3671,11.15
2020/7/12,2020,7,12,7,FALSE,3518,10.92
2020/7/13,2020,7,13,1,TRUE,3974,10.59
2020/7/14,2020,7,14,2,TRUE,3924,10.38
2020/7/15,2020,7,15,3,TRUE,4210,11.45
2020/7/16,2020,7,16,4,TRUE,5085,14.16
2020/7/17,2020,7,17,5,TRUE,4256,11.54
2020/7/18,2020,7,18,6,FALSE,4321,13.02
2020/7/19,2020,7,19,7,FALSE,4128,12.97
2020/7/20,2020,7,20,1,TRUE,4269,11.38
2020/7/21,2020,7,21,2,TRUE,5133,13.94
2020/7/22,2020,7,22,3,TRUE,4266,11.42
2020/7/23,2020,7,23,4,TRUE,3848,10.12
2020/7/24,2020,7,24,5,TRUE,4129,10.99
2020/7/25,2020,7,25,6,FALSE,4697,14.3
2020/7/26,2020,7,26,7,FALSE,4718,15.44
2020/7/27,2020,7,27,1,TRUE,4565,12.42
2020/7/28,2020,7,28,2,TRUE,4531,12.47
2020/7/29,2020,7,29,3,TRUE,4845,13.33
2020/7/30,2020,7,30,4,TRUE,5460,15.34
2020/7/31,2020,7,31,5,TRUE,4138,11.4
2020/8/1,2020,8,1,6,FALSE,4121,12.61
2020/8/2,2020,8,2,7,FALSE,3810,12.39
2020/8/3,2020,8,3,1,TRUE,4898,14.53
2020/8/4,2020,8,4,2,TRUE,4353,12.79
2020/8/5,2020,8,5,3,TRUE,4387,12.4
2020/8/6,2020,8,6,4,TRUE,3853,10.53
2020/8/7,2020,8,7,5,TRUE,3860,10.52
2020/8/8,2020,8,8,6,FALSE,3871,11.96
2020/8/9,2020,8,9,7,FALSE,3187,10.23
2020/8/10,2020,8,10,1,TRUE,3726,10.23
2020/8/11,2020,8,11,2,TRUE,4384,12.47
2020/8/12,2020,8,12,3,TRUE,4270,11.69
2020/8/13,2020,8,13,4,TRUE,4651,12.81
2020/8/14,2020,8,14,5,TRUE,5022,13.97
2020/8/15,2020,8,15,6,FALSE,4941,15.83
2020/8/16,2020,8,16,7,FALSE,4622,15.55
2020/8/17,2020,8,17,1,TRUE,4585,12.9
2020/8/18,2020,8,18,2,TRUE,4236,11.68
2020/8/19,2020,8,19,3,TRUE,3869,10.46
2020/8/20,2020,8,20,4,TRUE,4384,11.91
2020/8/21,2020,8,21,5,TRUE,3862,10.49
2020/8/22,2020,8,22,6,FALSE,3398,10.97
2020/8/23,2020,8,23,7,FALSE,3297,10.9
2020/8/24,2020,8,24,1,TRUE,3694,10.13
2020/8/25,2020,8,25,2,TRUE,3812,10.28
2020/8/26,2020,8,26,3,TRUE,3796,10.6
2020/8/27,2020,8,27,4,TRUE,4545,12.95
2020/8/28,2020,8,28,5,TRUE,4272,12.16
2020/8/29,2020,8,29,6,FALSE,4174,13.4
2020/8/30,2020,8,30,7,FALSE,4086,13.32
2020/8/31,2020,8,31,1,TRUE,4719,13.41
2020/9/1,2020,9,1,2,TRUE,4478,12.64
2020/9/2,2020,9,2,3,TRUE,3869,10.6
2020/9/3,2020,9,3,4,TRUE,4811,13.56
2020/9/4,2020,9,4,5,TRUE,4870,13.54
2020/9/5,2020,9,5,6,FALSE,3923,12.75
2020/9/6,2020,9,6,7,FALSE,3873,13.87
2020/9/7,2020,9,7,1,TRUE,4362,12.85
2020/9/8,2020,9,8,2,TRUE,4155,11.83
2020/9/9,2020,9,9,3,TRUE,4177,11.81
2020/9/10,2020,9,10,4,TRUE,4255,12.01
2020/9/11,2020,9,11,5,TRUE,4084,11.47
2020/9/12,2020,9,12,6,FALSE,3383,10.8
2020/9/13,2020,9,13,7,FALSE,3024,10.07
2020/9/14,2020,9,14,1,TRUE,3718,10.43
2020/9/15,2020,9,15,2,TRUE,3725,10.26
2020/9/16,2020,9,16,3,TRUE,3733,10.22
2020/9/17,2020,9,17,4,TRUE,3724,10.11
2020/9/18,2020,9,18,5,TRUE,3729,10.11
2020/9/19,2020,9,19,6,FALSE,3317,10.21
2020/9/20,2020,9,20,7,FALSE,3885,13.16
2020/9/21,2020,9,21,1,TRUE,4562,13.26
2020/9/22,2020,9,22,2,TRUE,5125,14.97
2020/9/23,2020,9,23,3,TRUE,4772,13.76
2020/9/24,2020,9,24,4,TRUE,5434,16.21
2020/9/25,2020,9,25,5,TRUE,5274,16.48
2020/9/26,2020,9,26,6,TRUE,4547,14.62
2020/9/27,2020,9,27,7,FALSE,4489,16.75
2020/9/28,2020,9,28,1,TRUE,4555,14.64
2020/9/29,2020,9,29,2,TRUE,4259,13.42
2020/9/30,2020,9,30,3,TRUE,5285,17.2
2020/10/1,2020,10,1,4,FALSE,4645,17.6
2020/10/2,2020,10,2,5,FALSE,3460,12.78
2020/10/3,2020,10,3,6,FALSE,3418,12.41
2020/10/4,2020,10,4,7,FALSE,3592,12.7
2020/10/5,2020,10,5,1,TRUE,4539,13.96
2020/10/6,2020,10,6,2,TRUE,4239,13.29
2020/10/7,2020,10,7,3,TRUE,4100,13.1
2020/10/8,2020,10,8,4,TRUE,4718,15.31
2020/10/9,2020,10,9,5,FALSE,4310,15.68
2020/10/10,2020,10,10,6,FALSE,3295,12.03
2020/10/11,2020,10,11,7,FALSE,3088,11.26
2020/10/12,2020,10,12,1,TRUE,3361,10.17
2020/10/13,2020,10,13,2,TRUE,3465,10.38
2020/10/14,2020,10,14,3,TRUE,3992,12.17
2020/10/15,2020,10,15,4,TRUE,3926,12.01
2020/10/16,2020,10,16,5,TRUE,3801,11.56
2020/10/17,2020,10,17,6,FALSE,4087,14.59
2020/10/18,2020,10,18,7,FALSE,3946,14.85
2020/10/19,2020,10,19,1,TRUE,4505,14.51
2020/10/20,2020,10,20,2,TRUE,4244,13.42
2020/10/21,2020,10,21,3,TRUE,3309,10.22
2020/10/22,2020,10,22,4,TRUE,4341,13.91
2020/10/23,2020,10,23,5,TRUE,4003,13.48
2020/10/24,2020,10,24,6,FALSE,3892,14.53
2020/10/25,2020,10,25,7,FALSE,4025,15.41
2020/10/26,2020,10,26,1,TRUE,3503,11.27
2020/10/27,2020,10,27,2,TRUE,3401,10.74
2020/10/28,2020,10,28,3,TRUE,3470,10.86
2020/10/29,2020,10,29,4,TRUE,3708,11.86
2020/10/30,2020,10,30,5,TRUE,4215,13.93
2020/10/31,2020,10,31,6,FALSE,3719,13.9
2020/11/1,2020,11,1,7,FALSE,3569,13.66
2020/11/2,2020,11,2,1,TRUE,3523,11.58
2020/11/3,2020,11,3,2,TRUE,3189,10.64
2020/11/4,2020,11,4,3,TRUE,3551,11.92
2020/11/5,2020,11,5,4,TRUE,3319,10.94
2020/11/6,2020,11,6,5,TRUE,3263,10.26
2020/11/7,2020,11,7,6,FALSE,3199,11.34
2020/11/8,2020,11,8,7,FALSE,3928,15.33
2020/11/9,2020,11,9,1,TRUE,4080,13.89
2020/11/10,2020,11,10,2,TRUE,3590,12.04
2020/11/11,2020,11,11,3,TRUE,3708,12.52
2020/11/12,2020,11,12,4,TRUE,3191,10.5
2020/11/13,2020,11,13,5,TRUE,3373,11.17
2020/11/14,2020,11,14,6,FALSE,3364,12.39
2020/11/15,2020,11,15,7,FALSE,3463,13.27
2020/11/16,2020,11,16,1,TRUE,3147,10.16
2020/11/17,2020,11,17,2,TRUE,3202,10.2
2020/11/18,2020,11,18,3,TRUE,3361,10.56
2020/11/19,2020,11,19,4,TRUE,3314,10.33
2020/11/20,2020,11,20,5,TRUE,3643,11.38
2020/11/21,2020,11,21,6,FALSE,2928,10.21
2020/11/22,2020,11,22,7,FALSE,2765,10.28
2020/11/23,2020,11,23,1,TRUE,3145,10.2
2020/11/24,2020,11,24,2,TRUE,3134,10.13
2020/11/25,2020,11,25,3,TRUE,3306,10.5
2020/11/26,2020,11,26,4,TRUE,3145,10.01
2020/11/27,2020,11,27,5,TRUE,3495,11.58
2020/11/28,2020,11,28,6,FALSE,2977,11.09
2020/11/29,2020,11,29,7,FALSE,3287,13.02
2020/11/30,2020,11,30,1,TRUE,3320,11.4
2020/12/1,2020,12,1,2,TRUE,3237,10.94
2020/12/2,2020,12,2,3,TRUE,3050,10.33
2020/12/3,2020,12,3,4,TRUE,3168,10.81
2020/12/4,2020,12,4,5,TRUE,3084,10.5
2020/12/5,2020,12,5,6,FALSE,3618,13.58
2020/12/6,2020,12,6,7,FALSE,2691,10.51
2020/12/7,2020,12,7,1,TRUE,3106,10.45
2020/12/8,2020,12,8,2,TRUE,3164,10.59
2020/12/9,2020,12,9,3,TRUE,3094,10.27
2020/12/10,2020,12,10,4,TRUE,3086,10.22
2020/12/11,2020,12,11,5,TRUE,3129,10.46
2020/12/12,2020,12,12,6,FALSE,3282,12.31
2020/12/13,2020,12,13,7,FALSE,2830,11.12
2020/12/14,2020,12,14,1,TRUE,3021,10.2
2020/12/15,2020,12,15,2,TRUE,3012,10.14
2021/1/1,2021,1,1,5,TRUE,2767,10.76
2021/1/2,2021,1,2,6,FALSE,2936,11.52
2021/1/3,2021,1,3,7,FALSE,3037,11.92
2021/1/4,2021,1,4,1,TRUE,3032,10.2
2021/1/5,2021,1,5,2,TRUE,3067,10.21
2021/1/6,2021,1,6,3,TRUE,3102,10.23
2021/1/7,2021,1,7,4,TRUE,3102,10.17
2021/1/8,2021,1,8,5,TRUE,3105,10.21
2021/1/9,2021,1,9,6,FALSE,3202,11.41
2021/1/10,2021,1,10,7,FALSE,2906,10.66
2021/1/11,2021,1,11,1,TRUE,3093,10.08
2021/1/12,2021,1,12,2,TRUE,3116,10.17
2021/1/13,2021,1,13,3,TRUE,3114,10.38
2021/1/14,2021,1,14,4,TRUE,3132,10.43
2021/1/15,2021,1,15,5,TRUE,3310,11.2
2021/1/16,2021,1,16,6,FALSE,3046,11.23
2021/1/17,2021,1,17,7,FALSE,3035,11.36
2021/1/18,2021,1,18,1,TRUE,3157,10.55
2021/1/19,2021,1,19,2,TRUE,3159,10.53
2021/1/20,2021,1,20,3,TRUE,3149,10.5
2021/1/21,2021,1,21,4,TRUE,3074,10.15
2021/1/22,2021,1,22,5,TRUE,3097,10.29
2021/1/23,2021,1,23,6,FALSE,3203,11.77
2021/1/24,2021,1,24,7,FALSE,3073,11.95
2021/1/25,2021,1,25,1,TRUE,3269,10.97
2021/1/26,2021,1,26,2,TRUE,3219,10.75
2021/1/27,2021,1,27,3,TRUE,3064,10.36
2021/1/28,2021,1,28,4,TRUE,3286,11.12
2021/1/29,2021,1,29,5,TRUE,3203,10.94
2021/1/30,2021,1,30,6,FALSE,3447,12.93
2021/1/31,2021,1,31,7,FALSE,2906,11.41
2021/2/1,2021,2,1,1,,2938,10.12
2021/2/2,2021,2,2,2,,3045,10.24
2021/2/3,2021,2,3,3,,3006,10.15
2021/2/4,2021,2,4,4,,3132,10.56
2021/2/5,2021,2,5,5,,3060,10.45
2021/2/6,2021,2,6,6,,3066,11.49
2021/2/7,2021,2,7,7,,2763,10.66
2021/2/8,2021,2,8,1,,3047,10.92
2021/2/9,2021,2,9,2,,2880,11.03
2021/2/10,2021,2,10,3,,2888,11.85
2021/2/11,2021,2,11,4,,2833,12.8
2021/2/12,2021,2,12,5,,2992,13.65
2021/2/13,2021,2,13,6,,3024,13.77
2021/2/14,2021,2,14,7,,2911,12.97
2021/2/15,2021,2,15,1,,2645,11.27
2021/2/16,2021,2,16,2,,3002,12.15
2021/2/17,2021,2,17,3,,2824,10.13
2021/2/18,2021,2,18,4,,2907,10.19
2021/2/19,2021,2,19,5,,2885,10.08
2021/2/20,2021,2,20,6,,2975,10.86
2021/2/21,2021,2,21,7,,3139,12.43
2021/2/22,2021,2,22,1,,2989,10.18
2021/2/23,2021,2,23,2,,3109,10.39
2021/2/24,2021,2,24,3,,3049,10.15
2021/2/25,2021,2,25,4,,3029,10.07
2021/2/26,2021,2,26,5,,3041,10.23
2021/2/27,2021,2,27,6,,2758,10.42
2021/2/28,2021,2,28,7,,2672,10.68
2021/3/1,2021,3,1,1,,2832,10.66
2021/3/2,2021,3,2,2,,3221,10.95
2021/3/3,2021,3,3,3,,3075,10.36
2021/3/4,2021,3,4,4,,3088,10.37
2021/3/5,2021,3,5,5,,3268,10.94
2021/3/6,2021,3,6,6,,2805,10.42
2021/3/7,2021,3,7,7,,2752,10.67
2021/3/8,2021,3,8,1,,3110,10.45
2021/3/9,2021,3,9,2,,3048,10.18
2021/3/10,2021,3,10,3,,3055,10.22
2021/3/11,2021,3,11,4,,3077,10.24
2021/3/12,2021,3,12,5,,3272,10.93
2021/3/13,2021,3,13,6,,3075,11.48
2021/3/14,2021,3,14,7,,2933,11.44
